1;Al ;Alquiler de uso habitacional 
2;Alc ;Alquiler de uso comercial 
3;Cm ;Comisiones 
4;I ;Intereses 
5;Os ;Otro tipo de servicio 
6;Sp ;Servicios Profesionales 
7;Spe ;Servicios personales 
8;St ;Servicios técnicos 
9;1;uno (indice de refracción) 
10;´ ;minuto 
11;´´ ;segundo 
12;°C ;grado Celsius 
13;1/m ;1 por metro 
14;A ;Ampere 
15;A/m ;ampere por metro 
16;A/m² ;ampere por metro cuadrado 
17;B ;bel 
18;Bq ;Becquerel 
19;C ;coulomb 
20;C/kg ;coulomb por kilogramo 
21;C/m² ;coulomb por metro cuadrado 
22;C/m³ ;coulomb por metro cúbico 
23;cd ;Candela 
24;cd/m² ;candela por metro cuadrado 
25;cm ;centímetro 
26;d ;día 
27;eV ;electronvolt 
28;F ;farad 
29;F/m ;farad por metro 
30;g ;Gramo 
31;Gal ;Galón 
32;Gy ;gray 
33;Gy/s ;gray por segundo 
34;H ;henry 
35;h ;hora 
36;H/m ;henry por metro 
37;Hz ;hertz 
38;J ;Joule 
39;J/(kg·K) ;joule por kilogramo kelvin 
40;J/(mol·K) ;joule por mol kelvin 
41;J/K ;joule por kelvin 
42;J/kg ;joule por kilogramo 
43;J/m³ ;joule por metro cúbico 
44;J/mol ;joule por mol 
45;K ;Kelvin 
46;kat ;katal 
47;kat/m³ ;katal por metro cúbico 
48;kg ;Kilogramo 
49;kg/m³ ;kilogramo por metro cúbico 
50;Km ;Kilometro 
51;Kw ;kilovatios 
52;L ;litro 
53;lm ;lumen 
54;ln ;pulgada 
55;lx ;lux 
56;m ;Metro 
57;m/s ;metro por segundo 
58;m/s² ;metro por segundo cuadrado 
59;m² ;metro cuadrado 
60;m³ ;metro cúbico 
61;min ;minuto 
62;mL ;mililitro 
63;mm ;Milímetro 
64;mol ;Mol 
65;mol/m³ ;mol por metro cúbico 
66;N ;newton 
67;N/m ;newton por metro 
68;N·m ;newton metro 
69;Np ;neper 
70;º ;grado 
71;Oz ;Onzas 
72;Pa ;pascal 
73;Pa·s ;pascal segundo 
74;rad ;radián 
75;rad/s ;radián por segundo 
76;rad/s² ;radián por segundo cuadrado 
77;s ;Segundo 
78;S ;siemens 
79;sr ;estereorradián 
80;Sv ;sievert 
81;T ;tesla 
82;t ;tonelada 
83;u ;unidad de masa atómica unificada 
84;ua ;unidad astronómica 
85;Unid ;Unidad 
86;V ;volt 
87;V/m ;volt por metro 
88;W ;Watt 
89;W/(m·K) ;watt por metro kevin 
90;W/(m²·sr) ;watt por metro cuadrado estereorradián 
91;W/m² ;watt por metro cuadrado 
92;W/sr ;watt por estereorradián 
93;Wb ;weber 
94;? ;ohm 
95;Otros ;Se debe indicar la descripción de la medida a utilizar 
